@relation whatever

@attribute hum_1 numeric
@attribute hum_2 numeric
@attribute hum_3 numeric
@attribute hum_4 numeric
@attribute hum_5 numeric
@attribute hum_6 numeric
@attribute hum_7 numeric
@attribute hum_8 numeric
@attribute hum_9 numeric
@attribute temp_1 numeric
@attribute temp_2 numeric
@attribute temp_3 numeric
@attribute temp_4 numeric
@attribute temp_5 numeric
@attribute temp_6 numeric
@attribute temp_7 numeric
@attribute temp_8 numeric
@attribute temp_9 numeric
@attribute vel.viento_1 numeric
@attribute vel.viento_2 numeric
@attribute vel.viento_3 numeric
@attribute vel.viento_4 numeric
@attribute vel.viento_5 numeric
@attribute vel.viento_6 numeric
@attribute vel.viento_7 numeric
@attribute vel.viento_8 numeric
@attribute vel.viento_9 numeric
@attribute dir.viento_1 numeric
@attribute dir.viento_2 numeric
@attribute dir.viento_3 numeric
@attribute dir.viento_4 numeric
@attribute dir.viento_5 numeric
@attribute dir.viento_6 numeric
@attribute dir.viento_7 numeric
@attribute dir.viento_8 numeric
@attribute dir.viento_9 numeric
@attribute rad.solar_1 numeric
@attribute rad.solar_2 numeric
@attribute rad.solar_3 numeric
@attribute rad.solar_4 numeric
@attribute rad.solar_5 numeric
@attribute rad.solar_6 numeric
@attribute rad.solar_7 numeric
@attribute rad.solar_8 numeric
@attribute rad.solar_9 numeric
@attribute p.rocio_1 numeric
@attribute p.rocio_2 numeric
@attribute p.rocio_3 numeric
@attribute p.rocio_4 numeric
@attribute p.rocio_5 numeric
@attribute p.rocio_6 numeric
@attribute p.rocio_7 numeric
@attribute p.rocio_8 numeric
@attribute p.rocio_9 numeric
@attribute min numeric
@attribute max numeric
@attribute class {1,2}



@data
93 , 91.3 , 85.1 , 73.4 , 63.2 , 56.3 , 54 , 50.3 , 45.7 , -0.2 , 2.1 , 5.7 , 9 , 12.8 , 15.4 , 16.4 , 17.8 , 19.6 , 0 , 1.3 , 1.9 , 2 , 1.1 , 1.7 , 2 , 2.2 , 1.9 , 292 , 340 , 338 , 345 , 8 , 352 , 337 , 344 , 352 , 13 , 29 , 408 , 603 , 724 , 789 , 801 , 799 , 747 , -1.209769953 , 0.811568504 , 3.361396223 , 4.446026427 , 5.914469344 , 6.6789365 , 7.003067075 , 7.262673496 , 7.511600722 , -0.7 , 20.3 , 1 
83 , 85.2 , 85.7 , 86.3 , 86.8 , 87.9 , 88.5 , 87.2 , 82.8 , 1.4 , 2.3 , 2.3 , 2.5 , 2.6 , 3 , 3.6 , 4.9 , 6.5 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , 1 , 2 , 23 , 61 , 74 , 87 , 248 , 551 , 412 , -1.207477493 , 0.03890414 , 0.120713768 , 0.415051015 , 0.594499203 , 1.165712433 , 1.853544196 , 2.923939669 , 3.752134904 , 0 , 15.1 , 1 
82.6 , 82.9 , 82.1 , 84.8 , 83.6 , 73 , 58.3 , 43.1 , 33.3 , 0.6 , 0.1 , 1.9 , 5.4 , 9.7 , 13.6 , 16 , 17.6 , 18.3 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , 1 , 44 , 178 , 348 , 506 , 576 , 589 , 584 , 641 , -2.057276085 , -2.497042781 , -0.869133353 , 3.016241853 , 7.026794041 , 8.807427309 , 7.755962768 , 4.833790994 , 1.801437384 , -1.6 , 9.4 , 1 
86.9 , 87.3 , 86 , 84.9 , 87.3 , 78.3 , 68.1 , 58.8 , 51 , 0.6 , 0 , 3.2 , 7.7 , 10.5 , 13.6 , 16.3 , 19.1 , 20.5 , 0 , 0 , 0 , 0.8 , 1.3 , 1.3 , 0.8 , 0.8 , 1 , 105 , 105 , 105 , 190 , 190 , 190 , 170 , 191 , 194 , 1 , 51 , 208 , 314 , 462 , 521 , 532 , 526 , 436 , -1.358014642 , -1.88542596 , 1.054471527 , 5.291181643 , 8.455491224 , 9.858506175 , 10.36054456 , 10.8029747 , 9.969650869 , -0.2 , 15.8 , 1 
96.3 , 96.5 , 93.3 , 84.3 , 76.3 , 65.9 , 58.1 , 55.2 , 52 , 0.1 , 1.1 , 5.6 , 8.4 , 10.7 , 13.5 , 15.7 , 16.7 , 17.3 , 0 , 0 , 1.3 , 2 , 1.9 , 2.2 , 2.2 , 2.4 , 2.2 , 156 , 156 , 171 , 197 , 197 , 185 , 194 , 194 , 194 , 1 , 112 , 231 , 408 , 497 , 549 , 538 , 511 , 434 , -0.427007488 , 0.597929439 , 4.589793303 , 5.874621033 , 6.656177897 , 7.193979729 , 7.422937619 , 7.606621583 , 7.28712964 , -0.7 , 27.6 , 1 
96.7 , 96.9 , 97 , 96.7 , 95.4 , 90.1 , 80.8 , 69.6 , 58.6 , 4.5 , 4.5 , 4.9 , 5.4 , 6 , 7.7 , 10.8 , 13.7 , 16 , 1.1 , 1.3 , 1.3 , 1.3 , 1.3 , 0.9 , 1.3 , 1.5 , 1.5 , 166 , 175 , 175 , 192 , 208 , 208 , 218 , 195 , 187 , 1 , 22 , 66 , 113 , 162 , 412 , 509 , 506 , 468 , 4.014236413 , 4.044086413 , 4.457623145 , 4.910845904 , 5.310960647 , 6.160247362 , 7.59910515 , 8.193431061 , 7.83179305 , -1.2 , 16.9 , 1 
95.1 , 95.4 , 91.7 , 82.7 , 76.7 , 70.4 , 60.4 , 52.5 , 48 , 0.4 , 0.5 , 5.5 , 10.8 , 12.3 , 14.2 , 16.7 , 18.8 , 19.7 , 0 , 0 , 0 , 2.2 , 2.4 , 2.4 , 2.8 , 3 , 3 , 115 , 277 , 277 , 192 , 206 , 209 , 202 , 195 , 195 , 1 , 84 , 219 , 323 , 442 , 488 , 509 , 503 , 419 , -0.303426759 , -0.159987012 , 4.240152381 , 7.943942901 , 8.286091534 , 8.843986331 , 8.941289711 , 8.82336196 , 8.327442643 , -1.1 , 17.7 , 1 
97.9 , 98 , 98.1 , 98.3 , 98.3 , 98.1 , 96.5 , 93.7 , 92 , 1.9 , 3.2 , 4.5 , 6.4 , 7.8 , 8.6 , 9 , 9.7 , 10 , 0.2 , 0.2 , 0.2 , 0.9 , 1.3 , 2 , 1.9 , 1.9 , 2 , 114 , 114 , 114 , 164 , 184 , 184 , 181 , 185 , 191 , 1 , 11 , 51 , 94 , 98 , 172 , 166 , 188 , 254 , 1.598732339 , 2.910255129 , 4.222062585 , 6.14787882 , 7.545181192 , 8.31322511 , 8.466336186 , 8.721965288 , 8.745402669 , -0.3 , 20.2 , 1 
97.8 , 97.9 , 98 , 94.2 , 88.5 , 83.9 , 78.5 , 71.7 , 71.5 , 1.6 , 0.2 , 2.1 , 5.8 , 8 , 9.9 , 11.5 , 13 , 12.9 , 0.2 , 0 , 0.6 , 0.9 , 1.9 , 1.9 , 1.9 , 2 , 2 , 112 , 112 , 90 , 90 , 208 , 183 , 188 , 192 , 185 , 1 , 19 , 214 , 324 , 438 , 569 , 482 , 393 , 237 , 1.284995435 , -0.09721402 , 1.81275206 , 4.927774333 , 6.193530615 , 7.275760452 , 7.853269414 , 7.961434462 , 7.823705634 , -0.7 , 11.2 , 1 
97.3 , 97.6 , 97.8 , 97.8 , 95.4 , 87.3 , 79.5 , 71.9 , 64.1 , 1.2 , 0.8 , 0.5 , 2.3 , 4.5 , 6.7 , 8 , 9.5 , 10.5 , 1.7 , 1.7 , 1.1 , 1.5 , 1.7 , 2 , 2 , 1.9 , 2 , 160 , 159 , 174 , 163 , 197 , 204 , 202 , 194 , 206 , 1 , 3 , 199 , 336 , 449 , 474 , 547 , 547 , 451 , 0.813769235 , 0.458235124 , 0.187744505 , 1.983246027 , 3.818884013 , 4.713064053 , 4.630290751 , 4.630012269 , 3.932736749 , -0.4 , 16.9 , 1 
98.2 , 98.3 , 98.3 , 98.4 , 98.4 , 97.9 , 94.7 , 91.6 , 88.3 , 0.3 , 0.9 , 1.3 , 1.5 , 2.3 , 3.2 , 4 , 4.9 , 6.2 , 1.3 , 1.5 , 1.9 , 2 , 2 , 2.2 , 2.4 , 2.4 , 2.4 , 154 , 177 , 181 , 181 , 167 , 190 , 187 , 177 , 197 , 1 , 1 , 36 , 53 , 164 , 473 , 271 , 369 , 427 , 0.045380543 , 0.658476645 , 1.057705894 , 1.271697046 , 2.070246864 , 2.895632496 , 3.215780244 , 3.630264675 , 4.385337915 , -1.2 , 9 , 1 
97.9 , 97.9 , 97.9 , 94.9 , 89.1 , 83 , 77.8 , 75 , 70.1 , 1.8 , 0.3 , 0.8 , 3.4 , 6.5 , 9 , 11 , 12.9 , 14.5 , 0.6 , 0.4 , 0.6 , 0.7 , 3.2 , 3.3 , 3 , 2.8 , 1.9 , 83 , 105 , 69 , 70 , 185 , 178 , 161 , 156 , 156 , 1 , 4 , 183 , 282 , 431 , 449 , 514 , 514 , 446 , 1.498970788 , 0.00254753 , 0.501355283 , 2.649584524 , 4.81205859 , 6.235051679 , 7.234338897 , 8.533925449 , 9.068526496 , -1 , 8.5 , 1 
98.1 , 98.1 , 98.2 , 98.3 , 98.4 , 95 , 82.3 , 78.8 , 72 , 0.9 , 0.2 , 1 , 2.6 , 4.7 , 8 , 11.8 , 13.2 , 14.8 , 0.4 , 0.4 , 0 , 0.6 , 0.4 , 0.6 , 0.9 , 0.9 , 0.9 , 156 , 156 , 156 , 73 , 282 , 65 , 348 , 317 , 243 , 1 , 12 , 98 , 139 , 311 , 472 , 712 , 712 , 382 , 0.62982232 , -0.068668842 , 0.743951753 , 2.355200954 , 4.465896318 , 7.238174806 , 8.850275596 , 9.564985376 , 9.758207792 , -0.4 , 15.3 , 1 
93.6 , 93.4 , 91.6 , 86.3 , 75.7 , 63.5 , 52.3 , 42.8 , 37.8 , 2.9 , 4.1 , 4.9 , 6.7 , 10 , 12.9 , 16 , 17.9 , 19 , 0.6 , 1.9 , 2.4 , 2.6 , 2 , 2.2 , 1.3 , 1.9 , 2.2 , 164 , 164 , 175 , 167 , 177 , 191 , 195 , 187 , 194 , 39 , 78 , 294 , 733 , 833 , 908 , 923 , 888 , 794 , 1.956370745 , 3.116804299 , 3.630264675 , 4.546069771 , 5.861741844 , 6.078564963 , 6.162750028 , 5.006188025 , 4.217499713 , -0.1 , 20.1 , 1 
98 , 98.5 , 98.5 , 98.2 , 94.8 , 87.7 , 83.1 , 74.4 , 65.6 , 0 , 3.7 , 6.3 , 7 , 8.4 , 10 , 10.9 , 13.2 , 15 , 0 , 1.7 , 1.7 , 1.7 , 2.8 , 2.8 , 2 , 1.7 , 1.7 , 118 , 27 , 7 , 8 , 34 , 25 , 18 , 7 , 6 , 1 , 13 , 64 , 139 , 486 , 486 , 506 , 524 , 458 , -0.282481072 , 3.482323701 , 6.077907135 , 6.731704981 , 7.604583088 , 8.031065036 , 8.113597074 , 8.704463922 , 8.557485431 , -1.7 , 13.5 , 1 
97.7 , 97.7 , 97.9 , 98 , 94.8 , 80.6 , 70 , 57.3 , 50.5 , 0.2 , 0 , 1.9 , 5.6 , 9.1 , 13.3 , 16 , 18.4 , 20.2 , 0 , 0 , 0 , 0.4 , 0.4 , 0 , 0 , 0.6 , 0.7 , 135 , 135 , 135 , 7 , 7 , 7 , 195 , 97 , 97 , 1 , 11 , 184 , 321 , 428 , 508 , 508 , 373 , 416 , -0.125810269 , -0.325287486 , 1.598732339 , 5.30480728 , 8.300391781 , 10.00254758 , 10.48831632 , 9.755463794 , 9.544157043 , -0.7 , 15.6 , 1 
